SiteID;TS;NOx;NO2;NO;PM10;NVPM10;VPM10;NVPM2.5;PM2.5;VPM2.5;CO;O3;SO2;Loc;Lat;Long
228;Jun 12, 2003 06:00 AM;247.85;64.45;115.88;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 12, 2003 05:00 AM;212.47;54.75;100.01;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 12, 2003 03:00 AM;121.98;39.54;51.53;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 12, 2003 02:00 AM;38.23;22.47;9.2;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 12, 2003 12:00 AM;53.63;33.47;10.69;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 11, 2003 05:00 PM;159.13;57.85;61.76;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 11, 2003 04:00 AM;88.37;33.13;34.19;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 11, 2003 03:00 AM;33.43;19.6;8.8;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 10, 2003 12:00 PM;134.77;47.14;53.54;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 10, 2003 02:00 AM;21.72;16.57;3.45;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 09, 2003 04:00 PM;326.85;82.38;151.52;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 09, 2003 01:00 PM;285.67;74.44;130.79;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 09, 2003 10:00 AM;311.74;78.41;144.62;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 09, 2003 02:00 AM;42.58;21.8;13.06;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 08, 2003 02:00 PM;75.56;31.22;27.26;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 07, 2003 03:00 PM;210.39;63.73;90.07;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 05, 2003 06:00 AM;274.16;75.54;122.51;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 05, 2003 04:00 AM;97.7;35.19;38.68;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 04, 2003 10:00 PM;33.26;20.27;8.21;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 04, 2003 07:00 PM;52.19;26.34;15.84;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 04, 2003 04:00 PM;250.0;70.19;110.87;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 04, 2003 02:00 PM;421.91;98.3;201.08;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 04, 2003 07:00 AM;369.77;83.29;178.71;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 04, 2003 06:00 AM;529.94;91.08;276.77;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 04, 2003 01:00 AM;38.31;27.01;6.35;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 04, 2003 12:00 AM;38.2;25.53;7.34;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
228;Jun 03, 2003 05:00 AM;393.37;76.59;199.07;;;;;;;;;;Temple Meads Station;51.4488837041;-2.58447776241
