SiteID;TS;NOx;NO2;NO;PM10;NVPM10;VPM10;NVPM2.5;PM2.5;VPM2.5;CO;O3;SO2;Loc;Lat;Long
209;Dec 12, 1998 01:00 AM;52.31;17.93;22.41;;;;;;;;;;IKEA M32;51.4752847609;-2.56207998299
209;Dec 11, 1998 10:00 AM;516.9;129.72;252.46;;;;;;;;;;IKEA M32;51.4752847609;-2.56207998299
209;Dec 10, 1998 10:00 AM;237.77;64.4;113.04;;;;;;;;;;IKEA M32;51.4752847609;-2.56207998299
209;Dec 09, 1998 10:00 AM;174.56;50.35;80.99;;;;;;;;;;IKEA M32;51.4752847609;-2.56207998299
209;Dec 09, 1998 06:00 AM;52.4;23.33;18.95;;;;;;;;;;IKEA M32;51.4752847609;-2.56207998299
209;Dec 09, 1998 03:00 AM;27.25;12.05;9.91;;;;;;;;;;IKEA M32;51.4752847609;-2.56207998299
209;Nov 12, 1998 08:00 PM;154.0;47.76;69.27;;;;;;;;;;IKEA M32;51.4752847609;-2.56207998299
209;Nov 12, 1998 07:00 PM;247.81;69.38;116.35;;;;;;;;;;IKEA M32;51.4752847609;-2.56207998299
209;Nov 12, 1998 03:00 AM;58.47;21.8;23.91;;;;;;;;;;IKEA M32;51.4752847609;-2.56207998299
209;Nov 11, 1998 07:00 AM;156.78;55.61;65.97;;;;;;;;;;IKEA M32;51.4752847609;-2.56207998299
209;Nov 11, 1998 03:00 AM;46.14;28.35;11.6;;;;;;;;;;IKEA M32;51.4752847609;-2.56207998299
209;Nov 11, 1998 12:00 AM;157.54;52.45;68.52;;;;;;;;;;IKEA M32;51.4752847609;-2.56207998299
209;Nov 10, 1998 09:00 PM;263.93;73.92;123.89;;;;;;;;;;IKEA M32;51.4752847609;-2.56207998299
209;Nov 10, 1998 08:00 PM;348.74;92.85;166.85;;;;;;;;;;IKEA M32;51.4752847609;-2.56207998299
209;Nov 10, 1998 06:00 PM;344.15;93.33;163.54;;;;;;;;;;IKEA M32;51.4752847609;-2.56207998299
