SiteID;TS;NOx;NO2;NO;PM10;NVPM10;VPM10;NVPM2.5;PM2.5;VPM2.5;CO;O3;SO2;Loc;Lat;Long
213;Jan 23, 2009 06:00 PM;136.0;67.0;45.0;29.8;;;;;;0.5;;;Old Market;51.4560189999;-2.58348949026
213;Jan 23, 2009 06:00 AM;40.0;32.0;5.0;4.4;;;;;;0.1;;;Old Market;51.4560189999;-2.58348949026
213;Jan 22, 2009 08:00 PM;96.0;57.0;25.0;27.4;;;;;;0.5;;;Old Market;51.4560189999;-2.58348949026
213;Jan 21, 2009 06:00 PM;96.0;52.0;29.0;13.1;;;;;;0.3;;;Old Market;51.4560189999;-2.58348949026
213;Jan 21, 2009 03:00 PM;153.0;78.0;49.0;28.8;;;;;;0.2;;;Old Market;51.4560189999;-2.58348949026
213;Jan 20, 2009 01:00 PM;227.0;74.0;100.0;12.3;;;;;;0.3;;;Old Market;51.4560189999;-2.58348949026
213;Jan 20, 2009 10:00 AM;267.0;101.0;109.0;11.9;;;;;;0.5;;;Old Market;51.4560189999;-2.58348949026
213;Jan 20, 2009 07:00 AM;273.0;117.0;103.0;8.7;;;;;;0.6;;;Old Market;51.4560189999;-2.58348949026
213;Jan 20, 2009 06:00 AM;195.0;92.0;68.0;6.0;;;;;;0.5;;;Old Market;51.4560189999;-2.58348949026
213;Jan 20, 2009 02:00 AM;11.0;10.0;1.0;14.8;;;;;;0.2;;;Old Market;51.4560189999;-2.58348949026
213;Jan 19, 2009 04:00 PM;539.0;134.0;265.0;14.8;;;;;;0.6;;;Old Market;51.4560189999;-2.58348949026
213;Jan 18, 2009 09:00 AM;151.0;55.0;63.0;7.2;;;;;;0.2;;;Old Market;51.4560189999;-2.58348949026
213;Jan 16, 2009 04:00 AM;65.0;42.0;15.0;16.2;;;;;;0.1;;;Old Market;51.4560189999;-2.58348949026
213;Jan 15, 2009 11:00 PM;55.0;32.0;15.0;13.5;;;;;;0.3;;;Old Market;51.4560189999;-2.58348949026
213;Jan 15, 2009 10:00 PM;73.0;40.0;21.0;13.3;;;;;;0.3;;;Old Market;51.4560189999;-2.58348949026
213;Jan 15, 2009 08:00 PM;86.0;50.0;24.0;19.0;;;;;;0.3;;;Old Market;51.4560189999;-2.58348949026
213;Jan 15, 2009 03:00 AM;19.0;15.0;3.0;19.6;;;;;;0.2;;;Old Market;51.4560189999;-2.58348949026
213;Jan 14, 2009 05:00 PM;223.0;97.0;83.0;18.6;;;;;;0.8;;;Old Market;51.4560189999;-2.58348949026
213;Jan 14, 2009 05:00 AM;516.0;88.0;280.0;9.9;;;;;;0.5;;;Old Market;51.4560189999;-2.58348949026
213;Jan 13, 2009 10:00 PM;351.0;117.0;154.0;26.2;;;;;;0.9;;;Old Market;51.4560189999;-2.58348949026
213;Jan 13, 2009 08:00 PM;351.0;113.0;156.0;19.8;;;;;;1.0;;;Old Market;51.4560189999;-2.58348949026
213;Jan 13, 2009 03:00 PM;479.0;128.0;230.0;13.9;;;;;;0.5;;;Old Market;51.4560189999;-2.58348949026
213;Jan 13, 2009 02:00 PM;294.0;78.0;141.0;22.9;;;;;;0.3;;;Old Market;51.4560189999;-2.58348949026
213;Jan 13, 2009 05:00 AM;65.0;44.0;14.0;9.9;;;;;;0.2;;;Old Market;51.4560189999;-2.58348949026
213;Jan 13, 2009 01:00 AM;32.0;27.0;4.0;8.7;;;;;;0.2;;;Old Market;51.4560189999;-2.58348949026
213;Jan 12, 2009 04:00 PM;413.0;136.0;181.0;7.4;;;;;;0.7;;;Old Market;51.4560189999;-2.58348949026
213;May 07, 2009 05:00 AM;275.0;113.0;106.0;3.8;;;;;;0.2;;;Old Market;51.4560189999;-2.58348949026
213;May 06, 2009 06:00 PM;210.0;73.0;90.0;14.1;;;;;;0.3;;;Old Market;51.4560189999;-2.58348949026
213;May 06, 2009 10:00 AM;243.0;78.0;108.0;21.9;;;;;;0.5;;;Old Market;51.4560189999;-2.58348949026
213;May 06, 2009 09:00 AM;202.0;74.0;84.0;25.5;;;;;;0.2;;;Old Market;51.4560189999;-2.58348949026
213;May 05, 2009 10:00 PM;216.0;67.0;98.0;19.0;;;;;;0.2;;;Old Market;51.4560189999;-2.58348949026
213;May 05, 2009 07:00 PM;214.0;76.0;90.0;22.3;;;;;;0.3;;;Old Market;51.4560189999;-2.58348949026
213;May 05, 2009 10:00 AM;164.0;63.0;66.0;19.2;;;;;;0.3;;;Old Market;51.4560189999;-2.58348949026
213;May 05, 2009 01:00 AM;11.0;8.0;3.0;12.9;;;;;;0.2;;;Old Market;51.4560189999;-2.58348949026
213;May 04, 2009 11:00 AM;202.0;78.0;81.0;9.9;;;;;;0.2;;;Old Market;51.4560189999;-2.58348949026
213;May 03, 2009 05:00 PM;15.0;11.0;3.0;6.6;;;;;;0.2;;;Old Market;51.4560189999;-2.58348949026
213;May 02, 2009 12:00 PM;130.0;61.0;45.0;22.3;;;;;;0.3;;;Old Market;51.4560189999;-2.58348949026
213;May 02, 2009 10:00 AM;122.0;55.0;44.0;22.3;;;;;;0.1;;;Old Market;51.4560189999;-2.58348949026
213;Apr 30, 2009 02:00 PM;134.0;69.0;43.0;7.6;;;;;;0.5;;;Old Market;51.4560189999;-2.58348949026
213;Apr 30, 2009 10:00 AM;136.0;69.0;44.0;8.7;;;;;;0.3;;;Old Market;51.4560189999;-2.58348949026
213;Apr 29, 2009 03:00 PM;132.0;73.0;39.0;10.9;;;;;;0.6;;;Old Market;51.4560189999;-2.58348949026
213;Apr 29, 2009 02:00 PM;78.0;46.0;21.0;11.5;;;;;;0.6;;;Old Market;51.4560189999;-2.58348949026
213;Apr 29, 2009 02:00 AM;300.0;74.0;148.0;17.6;;;;;;0.3;;;Old Market;51.4560189999;-2.58348949026
213;Apr 28, 2009 02:00 AM;126.0;65.0;40.0;14.4;;;;;;0.3;;;Old Market;51.4560189999;-2.58348949026
213;Apr 27, 2009 08:00 PM;115.0;69.0;30.0;7.0;;;;;;0.6;;;Old Market;51.4560189999;-2.58348949026
213;Apr 27, 2009 07:00 PM;283.0;96.0;123.0;6.0;;;;;;0.3;;;Old Market;51.4560189999;-2.58348949026
213;Apr 27, 2009 11:00 AM;185.0;78.0;70.0;9.7;;;;;;0.3;;;Old Market;51.4560189999;-2.58348949026
213;Apr 27, 2009 07:00 AM;189.0;73.0;76.0;4.4;;;;;;0.3;;;Old Market;51.4560189999;-2.58348949026
213;Apr 27, 2009 02:00 AM;10.0;8.0;1.0;8.0;;;;;;0.2;;;Old Market;51.4560189999;-2.58348949026
213;Apr 26, 2009 10:00 PM;55.0;32.0;15.0;17.6;;;;;;0.3;;;Old Market;51.4560189999;-2.58348949026
213;Apr 26, 2009 12:00 PM;86.0;50.0;24.0;14.1;;;;;;0.5;;;Old Market;51.4560189999;-2.58348949026
213;Apr 26, 2009 03:00 AM;57.0;36.0;14.0;15.2;;;;;;0.3;;;Old Market;51.4560189999;-2.58348949026
213;Apr 25, 2009 04:00 PM;65.0;38.0;18.0;16.8;;;;;;0.3;;;Old Market;51.4560189999;-2.58348949026
213;Apr 25, 2009 02:00 PM;57.0;34.0;15.0;15.0;;;;;;0.3;;;Old Market;51.4560189999;-2.58348949026
213;Apr 25, 2009 07:00 AM;59.0;34.0;16.0;6.6;;;;;;0.2;;;Old Market;51.4560189999;-2.58348949026
213;Apr 24, 2009 08:00 PM;88.0;57.0;20.0;24.9;;;;;;0.3;;;Old Market;51.4560189999;-2.58348949026
213;Apr 23, 2009 09:00 PM;74.0;50.0;16.0;23.1;;;;;;0.2;;;Old Market;51.4560189999;-2.58348949026
213;Apr 23, 2009 07:00 PM;84.0;55.0;19.0;21.5;;;;;;0.3;;;Old Market;51.4560189999;-2.58348949026
213;Apr 23, 2009 02:00 PM;113.0;61.0;34.0;22.1;;;;;;0.3;;;Old Market;51.4560189999;-2.58348949026
213;Apr 23, 2009 10:00 AM;128.0;69.0;39.0;32.7;;;;;;0.2;;;Old Market;51.4560189999;-2.58348949026
213;Apr 23, 2009 05:00 AM;145.0;73.0;48.0;16.2;;;;;;0.3;;;Old Market;51.4560189999;-2.58348949026
213;Apr 22, 2009 04:00 PM;151.0;69.0;54.0;11.5;;;;;;0.5;;;Old Market;51.4560189999;-2.58348949026
213;Apr 22, 2009 03:00 PM;96.0;50.0;30.0;15.8;;;;;;0.3;;;Old Market;51.4560189999;-2.58348949026
213;Apr 22, 2009 07:00 AM;193.0;82.0;73.0;26.6;;;;;;0.3;;;Old Market;51.4560189999;-2.58348949026
