SiteID;TS;NOx;NO2;NO;PM10;NVPM10;VPM10;NVPM2.5;PM2.5;VPM2.5;CO;O3;SO2;Loc;Lat;Long
271;Jan 23, 2009 03:00 PM;30.32;16.71;8.88;;;;;;;;;;Trailer Portway P&R;51.4899934596;-2.68877856929
271;Jan 23, 2009 02:00 AM;18.66;8.12;6.87;;;;;;;;;;Trailer Portway P&R;51.4899934596;-2.68877856929
271;Jan 22, 2009 05:00 PM;78.38;54.83;15.36;;;;;;;;;;Trailer Portway P&R;51.4899934596;-2.68877856929
271;Jan 22, 2009 04:00 PM;49.87;29.88;13.03;;;;;;;;;;Trailer Portway P&R;51.4899934596;-2.68877856929
271;Jan 22, 2009 11:00 AM;50.47;32.8;11.52;;;;;;;;;;Trailer Portway P&R;51.4899934596;-2.68877856929
271;Jan 21, 2009 02:00 PM;21.95;7.56;9.38;;;;;;;;;;Trailer Portway P&R;51.4899934596;-2.68877856929
271;Jan 21, 2009 11:00 AM;43.67;22.86;13.57;;;;;;;;;;Trailer Portway P&R;51.4899934596;-2.68877856929
271;Jan 21, 2009 04:00 AM;27.33;16.21;7.25;;;;;;;;;;Trailer Portway P&R;51.4899934596;-2.68877856929
271;Jan 21, 2009 03:00 AM;24.33;13.4;7.13;;;;;;;;;;Trailer Portway P&R;51.4899934596;-2.68877856929
271;Jan 20, 2009 06:00 AM;20.82;11.26;8.47;;;;;;;;;;Trailer Portway P&R;51.4899934596;-2.68877856929
271;Jan 20, 2009 12:00 AM;22.27;11.31;7.14;;;;;;;;;;Trailer Portway P&R;51.4899934596;-2.68877856929
271;Jan 19, 2009 08:00 AM;54.01;24.17;19.46;;;;;;;;;;Trailer Portway P&R;51.4899934596;-2.68877856929
271;Jan 19, 2009 02:00 AM;15.34;;;;;;;;;;;;Trailer Portway P&R;51.4899934596;-2.68877856929
271;Jan 18, 2009 06:00 PM;17.8;7.17;6.93;;;;;;;;;;Trailer Portway P&R;51.4899934596;-2.68877856929
271;Jan 18, 2009 12:00 AM;16.59;5.89;6.98;;;;;;;;;;Trailer Portway P&R;51.4899934596;-2.68877856929
271;Jan 17, 2009 08:00 PM;14.12;3.03;7.23;;;;;;;;;;Trailer Portway P&R;51.4899934596;-2.68877856929
271;Jan 17, 2009 12:00 AM;15.21;4.98;6.67;;;;;;;;;;Trailer Portway P&R;51.4899934596;-2.68877856929
271;Jan 16, 2009 08:00 PM;18.93;7.81;7.26;;;;;;;;;;Trailer Portway P&R;51.4899934596;-2.68877856929
271;Jan 16, 2009 07:00 PM;20.88;7.81;8.52;;;;;;;;;;Trailer Portway P&R;51.4899934596;-2.68877856929
271;Jan 15, 2009 06:00 PM;47.49;26.62;31.58;;;;;;;;;;Trailer Portway P&R;51.4899934596;-2.68877856929
271;Jan 15, 2009 02:00 PM;21.17;6.52;9.55;;;;;;;;;;Trailer Portway P&R;51.4899934596;-2.68877856929
271;Jan 15, 2009 11:00 AM;33.7;11.57;14.43;;;;;;;;;;Trailer Portway P&R;51.4899934596;-2.68877856929
271;Jan 15, 2009 03:00 AM;13.83;1.65;7.94;;;;;;;;;;Trailer Portway P&R;51.4899934596;-2.68877856929
271;Jan 14, 2009 06:00 PM;41.5;25.1;10.69;;;;;;;;;;Trailer Portway P&R;51.4899934596;-2.68877856929
271;Jan 14, 2009 04:00 PM;65.05;25.31;25.91;;;;;;;;;;Trailer Portway P&R;51.4899934596;-2.68877856929
271;Jan 14, 2009 09:00 AM;387.83;88.52;195.16;;;;;;;;;;Trailer Portway P&R;51.4899934596;-2.68877856929
271;Jan 13, 2009 08:00 PM;75.01;48.92;17.01;;;;;;;;;;Trailer Portway P&R;51.4899934596;-2.68877856929
271;Jan 13, 2009 04:00 PM;63.26;41.59;14.13;;;;;;;;;;Trailer Portway P&R;51.4899934596;-2.68877856929
271;Jan 13, 2009 03:00 AM;13.87;0.26;8.28;;;;;;;;;;Trailer Portway P&R;51.4899934596;-2.68877856929
