SiteID;TS;NOx;NO2;NO;PM10;NVPM10;VPM10;NVPM2.5;PM2.5;VPM2.5;CO;O3;SO2;Loc;Lat;Long
459;Jan 23, 2009 05:00 PM;64.35;36.7;18.03;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901;-2.5927241667
459;Jan 23, 2009 03:00 PM;70.13;35.59;22.52;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901;-2.5927241667
459;Jan 23, 2009 12:00 PM;66.66;37.87;18.77;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901;-2.5927241667
459;Jan 23, 2009 06:00 AM;22.51;18.62;2.54;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901;-2.5927241667
459;Jan 22, 2009 12:00 PM;74.12;43.79;19.77;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901;-2.5927241667
459;Jan 21, 2009 04:00 AM;14.03;11.17;1.87;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901;-2.5927241667
459;Jan 20, 2009 01:00 AM;18.5;14.42;2.66;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901;-2.5927241667
459;Jan 19, 2009 11:00 PM;40.93;30.04;7.1;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901;-2.5927241667
459;Jan 19, 2009 05:00 PM;63.55;37.25;17.15;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901;-2.5927241667
459;Jan 19, 2009 04:00 PM;58.27;34.39;15.57;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901;-2.5927241667
459;Jan 19, 2009 02:00 PM;62.11;41.47;13.45;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901;-2.5927241667
459;Jan 19, 2009 06:00 AM;35.34;27.82;4.9;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901;-2.5927241667
459;Jan 19, 2009 03:00 AM;12.27;11.0;0.83;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901;-2.5927241667
459;Jan 18, 2009 12:00 PM;38.16;21.74;10.71;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901;-2.5927241667
459;Jan 18, 2009 08:00 AM;28.05;22.44;3.65;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901;-2.5927241667
459;Jan 18, 2009 04:00 AM;26.35;21.07;3.45;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901;-2.5927241667
459;Jan 18, 2009 12:00 AM;36.34;24.43;7.76;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901;-2.5927241667
459;Jan 17, 2009 11:00 PM;32.82;23.14;6.31;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901;-2.5927241667
459;Jan 17, 2009 09:00 PM;27.29;18.12;5.98;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901;-2.5927241667
459;Jan 17, 2009 06:00 PM;28.49;19.25;6.02;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901;-2.5927241667
459;Jan 17, 2009 04:00 PM;47.84;32.75;9.84;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901;-2.5927241667
459;Jan 17, 2009 01:00 AM;19.0;13.71;3.45;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901;-2.5927241667
459;Jan 16, 2009 11:00 AM;92.77;50.94;27.28;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901;-2.5927241667
459;Jan 15, 2009 11:00 PM;78.88;35.33;28.4;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901;-2.5927241667
459;Jan 15, 2009 08:00 AM;72.98;38.85;22.25;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901;-2.5927241667
459;Jan 14, 2009 10:00 PM;45.83;33.67;7.93;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901;-2.5927241667
459;Jan 14, 2009 07:00 PM;107.98;57.48;32.93;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901;-2.5927241667
459;Jan 14, 2009 07:00 AM;266.52;47.28;142.95;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901;-2.5927241667
459;Jan 14, 2009 03:00 AM;50.1;35.84;9.3;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901;-2.5927241667
459;Jan 13, 2009 05:00 PM;127.65;54.99;47.37;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901;-2.5927241667
459;Jan 13, 2009 02:00 PM;81.27;36.38;29.27;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901;-2.5927241667
459;Jan 13, 2009 11:00 AM;106.85;50.75;36.58;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901;-2.5927241667
459;Jan 13, 2009 01:00 AM;30.94;25.65;3.45;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901;-2.5927241667
459;Jan 13, 2009 12:00 AM;44.51;32.86;7.6;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901;-2.5927241667
459;Jan 12, 2009 07:00 PM;128.28;62.11;43.14;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901;-2.5927241667
459;Jan 12, 2009 05:00 PM;117.15;58.89;37.99;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901;-2.5927241667
459;Jan 12, 2009 03:00 PM;66.19;41.42;16.15;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901;-2.5927241667
459;May 07, 2009 07:00 AM;58.14;36.11;14.37;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901;-2.5927241667
459;May 06, 2009 02:00 PM;37.38;22.92;9.43;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901;-2.5927241667
459;May 06, 2009 05:00 AM;21.49;13.41;5.27;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901;-2.5927241667
459;May 06, 2009 01:00 AM;4.21;3.07;0.74;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901;-2.5927241667
459;May 05, 2009 02:00 PM;35.58;23.89;7.62;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901;-2.5927241667
459;May 05, 2009 11:00 AM;44.35;29.97;9.37;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901;-2.5927241667
459;May 04, 2009 10:00 AM;24.21;16.27;5.18;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901;-2.5927241667
459;May 04, 2009 05:00 AM;26.73;20.61;3.99;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901;-2.5927241667
459;May 03, 2009 05:00 AM;13.27;10.6;1.74;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901;-2.5927241667
459;May 03, 2009 03:00 AM;18.59;15.16;2.24;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901;-2.5927241667
459;May 02, 2009 11:00 PM;34.66;24.92;6.35;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901;-2.5927241667
459;May 02, 2009 01:00 PM;54.08;36.0;11.79;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901;-2.5927241667
459;May 02, 2009 11:00 AM;58.86;37.08;14.2;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901;-2.5927241667
459;May 02, 2009 10:00 AM;62.34;38.31;15.67;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901;-2.5927241667
459;May 02, 2009 03:00 AM;22.7;18.76;2.58;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901;-2.5927241667
459;May 01, 2009 07:00 AM;74.33;41.54;21.39;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901;-2.5927241667
